URLID,length,word_present,edited_2023
URLID_BXFB,38132.0,1,1
URLID_MTSK,41771.0,0,0
URLID_DVDH,33451.6,0,1
URLID_KBTD,20209.0,0,0
URLID_ZLAI,32821.0,0,0
URLID_LSNG,38645.0,0,1
URLID_PYJD,27789.0,1,0
URLID_ARLI,21480.0,0,0
URLID_OEHJ,15134.0,0,0
URLID_HGHG,132405.0,1,0
URLID_BVSB,22455.0,0,0
URLID_EFKE,17375.598619896493,0,0
URLID_ILJI,21365.0,0,0
URLID_FVTE,31109.0,1,0
URLID_ZYTB,18998.0,0,0
URLID_CUXM,21191.0,1,0
URLID_IOTC,57916.0,0,0
URLID_CHRL,15181.857142857143,0,0
URLID_QSVL,9749.0,0,0
URLID_GYCK,99295.0,1,1
URLID_LTJI,49117.0,0,1
URLID_XROA,22892.333333333332,0,0
URLID_POEG,26952.0,0,0
URLID_LEYH,25298.0,0,0
URLID_ZKYD,29852.0,0,0
URLID_ZPVE,35331.0,1,1
URLID_CMHL,10029.30612244898,0,0
URLID_CRFH,27514.0,0,0
URLID_EACD,16091.0,0,0
URLID_JPYE,26346.0,0,0
URLID_BHFK,18551.479591836734,0,0
URLID_OOON,40333.0,1,1
URLID_XILK,30815.0,0,0
URLID_ZCFF,36914.0,0,0
URLID_MNKF,27568.0,0,0
URLID_IPOB,31532.0,0,1
URLID_ALQN,34679.0,0,1
URLID_DUVL,18821.372093023256,0,0
URLID_YQFO,55653.0,0,1
URLID_LGJB,18126.0,0,0
URLID_KGTF,17458.0,0,0
URLID_BKKJ,28589.0,1,0
URLID_ZJVM,25621.0,0,0
URLID_RMZB,85121.5,1,1
URLID_ZZYM,23601.0,0,0
URLID_TNNE,26631.0,0,0
URLID_LJGE,71684.0,1,1
URLID_WMUI,28180.0,0,0
URLID_DJPE,16628.107228915662,0,0
URLID_SYLA,17952.0,0,0
URLID_XVXI,42948.0,0,0
URLID_RXQD,74085.0,1,1
URLID_ZQLJ,46172.0,0,0
URLID_ZHQH,63448.0,1,1
URLID_UXLH,106661.0,1,1
URLID_KNJA,32247.0,0,0
URLID_BWBB,21235.0,0,0
URLID_YABK,22139.0,0,0
URLID_UOAE,24266.0,0,0
URLID_SDBO,30219.0,0,0
URLID_WGDG,31833.0,1,0
URLID_CXVB,43192.0,0,0
URLID_KRMH,28016.0,1,0
URLID_AHHH,19408.0,0,0
URLID_NQWH,75343.0,1,0
URLID_WTVI,67548.0,1,1
URLID_VREC,41115.0,0,0
URLID_ARKE,32620.0,0,0
URLID_PGHJ,18802.0,0,0
URLID_MTXD,39242.0,1,0
URLID_FMQB,33741.0,0,0
URLID_PDUG,13976.0,0,0
URLID_TWQN,53557.0,1,0
URLID_EICL,21086.0,0,0
URLID_JWFG,34455.0,0,0
URLID_YTKJ,23179.333333333332,0,0
URLID_MTWJ,41084.0,0,0
URLID_WAAF,66019.0,1,1
URLID_RTWE,48286.0,0,1
URLID_QVGH,20714.0,0,0
URLID_UEPJ,37605.0,0,0
URLID_MLDF,19546.0,0,0
URLID_TZFL,83576.0,1,1
URLID_JPNB,25732.0,1,0
URLID_URJD,48024.5,1,0
URLID_PGML,36209.0,0,0
URLID_ELQH,43233.0,0,0
URLID_SUIA,95104.0,1,1
URLID_YOPF,13705.0,0,0
URLID_NJIL,43437.0,0,0
URLID_ZZZG,15675.0,0,0
URLID_EKKA,114880.0,1,1
URLID_LCWC,33352.0,0,1
URLID_GBLF,23875.0,0,0
URLID_LNYJ,15533.34,0,0
URLID_SPGE,16814.0,0,0
URLID_HPKD,13029.0,0,0
URLID_WLHA,16575.0,0,0
URLID_GSTD,25881.0,0,0
URLID_JVBO,26408.0,0,0
URLID_FFXJ,34235.333333333336,1,0
URLID_PSRI,26272.5,1,0
URLID_BOYK,60405.0,0,0
URLID_AZBN,85339.0,0,0
URLID_QLML,16041.0,0,0
URLID_CLFE,14153.0,0,0
URLID_QIUK,22878.0,1,1
URLID_BAAK,46929.0,1,1
URLID_DUKA,20737.0,0,0
URLID_IWHA,95892.0,1,1
URLID_AVRN,18402.0,0,0
URLID_KWXN,19116.44,0,0
URLID_RDGL,21962.5,1,0
URLID_RZAG,47105.166666666664,0,0
URLID_USZI,46825.5,1,1
URLID_ISZM,17554.8,1,0
URLID_PWRG,17947.0,0,0
URLID_PQWF,21729.0,0,0
URLID_MOME,25204.0,0,0
URLID_KORH,95621.0,1,1
URLID_NPAL,23926.0,0,0
URLID_JEAB,38680.0,1,0
URLID_TMWA,13587.0,0,0
URLID_LKSE,24771.0,1,0
URLID_ZZCG,56592.0,1,0
URLID_EFNN,19415.0,1,0
URLID_LGMC,149779.0,1,1
URLID_NEUM,20904.0,0,0
URLID_EKYJ,17375.598619896493,0,0
URLID_ACFE,49016.0,0,0
URLID_TCOJ,43376.0,0,0
URLID_RCEK,6536.0,0,0
URLID_JZSE,45387.0,0,1
URLID_JOVI,16709.0,0,0
URLID_BGPB,26387.0,1,0
URLID_YHVK,18060.0,1,1
URLID_VDYA,33782.0,0,1
URLID_CFFF,17164.027027027027,0,0
URLID_JOXD,15638.6,0,0
URLID_JFVM,51185.0,0,0
URLID_ANZJ,19117.0,0,0
URLID_KODN,38830.0,0,0
URLID_RVOK,51445.0,1,1
URLID_MAAE,9813.75,0,0
URLID_PPEI,18981.5,1,0
URLID_AZSF,17351.333333333332,0,0
URLID_FXOC,46351.0,0,0
URLID_YJNJ,18852.6,0,0
URLID_KKZH,29258.0,0,0
URLID_LHPA,17446.0,0,0
URLID_LTQB,47233.0,1,0
URLID_KKMN,19101.333333333332,0,0
URLID_OMDK,13400.0,0,0
URLID_MPKF,26264.0,0,0
URLID_ORHB,40485.0,1,1
URLID_WXBJ,16960.90625,0,0
URLID_SHQL,22434.0,0,0
URLID_VJIM,61863.0,0,0
URLID_BDMC,36084.75,0,0
URLID_SROA,141901.0,1,1
URLID_HBLK,21911.0,1,0
URLID_DNDD,12700.0,0,0
URLID_IBZK,14360.0,0,0
URLID_UBOK,27564.0,0,0
URLID_VNII,17375.598619896493,0,0
URLID_PBIM,46918.0,0,0
URLID_QWCD,25542.0,1,0
URLID_DUON,31275.0,0,0
URLID_LWGE,48119.0,0,1
URLID_ZSHN,19920.3125,0,0
URLID_HBQM,19935.0,0,0
URLID_XYYK,49075.0,0,0
URLID_USCJ,33144.0,0,0
URLID_EDZB,19910.4,0,0
URLID_RZJA,28373.0,0,0
URLID_YRYI,16675.0,0,0
URLID_MVMG,149679.0,1,1
URLID_BNML,31032.0,1,0
URLID_BNUH,26544.0,0,0
URLID_ZZKI,40062.0,0,1
URLID_ODGD,50310.0,1,1
URLID_VWQL,31360.0,0,0
URLID_YGWC,17489.0,0,0
URLID_SZWJ,36568.0,1,1
URLID_BSGJ,31469.0,1,0
URLID_RSIH,26031.0,0,1
URLID_DCDF,14225.54054054054,0,0
URLID_NMBN,21342.4,0,0
URLID_JZJC,35991.0,0,0
URLID_XTEN,18112.5,0,0
URLID_VTAA,58722.0,1,1
URLID_DRDK,47358.0,0,0
URLID_IDWG,45333.0,0,0
URLID_SJOF,54927.0,0,0
URLID_WVYL,18787.0,0,0
URLID_ZZUC,45556.0,1,0
URLID_TXZN,17199.0,0,0
URLID_SDIK,20089.0,0,0
URLID_ZZQH,24465.35714285714,0,0
URLID_IQRE,45734.0,1,1
URLID_UCPG,22826.0,0,0
URLID_YKDN,38044.0,0,0
URLID_QGWL,46249.0,0,1
URLID_QJSE,22442.0,0,0
URLID_XEYH,30854.0,1,0
URLID_JTHI,19825.272727272728,0,0
URLID_ZBEJ,39986.0,0,0
URLID_KZJM,28595.0,0,0
URLID_EFHC,18120.0,0,0
URLID_RECC,36369.0,0,0
URLID_JKJI,85001.0,1,1
URLID_BNEJ,38652.0,0,1
URLID_PXDJ,25288.0,0,0
URLID_QQUH,32087.0,1,0
URLID_HFUA,108228.0,1,1
URLID_EQJM,68809.0,0,0
URLID_KXME,44738.0,0,0
URLID_PCWL,21387.0,0,0
URLID_MSNI,18088.333333333332,0,0
URLID_LKIA,23930.0,0,0
URLID_NGUM,31278.0,0,0
URLID_UGNJ,36504.0,1,1
URLID_CQHE,33252.0,0,0
URLID_FDMA,47174.0,0,0
URLID_EJHE,17375.598619896493,0,0
URLID_OKEG,28190.0,0,0
URLID_HRRE,56083.0,1,0
URLID_HBUF,18045.333333333332,0,0
URLID_KYVF,30198.5,0,0
URLID_REBI,18156.666666666668,1,0
URLID_QWZK,27450.0,1,1
URLID_EZPN,19962.0,0,0
URLID_QHXE,20638.23076923077,0,0
URLID_ZXPG,68650.0,1,1
URLID_GMQA,36854.0,1,1
URLID_ZFEJ,17969.075675675675,0,0
URLID_QYWC,26835.0,1,0
URLID_AURM,37694.0,0,0
URLID_SFBD,19835.75,0,0
URLID_AHWJ,18461.125,0,0
URLID_GFSG,77703.0,1,1
URLID_BXCG,80048.0,0,1
URLID_ETXA,137600.0,1,1
URLID_HUIJ,27543.0,0,0
URLID_BIZE,162171.0,1,1
URLID_ONKF,20897.0,1,0
URLID_DDTN,51445.0,0,0
URLID_FZFD,89569.0,1,1
URLID_VWSL,26290.0,1,0
URLID_HAZM,40977.0,1,1
URLID_GSAN,27109.0,0,0
URLID_CFOM,38490.0,0,0
URLID_AXVG,21431.0,0,0
URLID_HYOG,48345.0,1,1
URLID_OQNI,15533.34,0,0
URLID_CZNI,17969.0,0,0
URLID_USYJ,16309.0,1,0
URLID_XOFN,16485.0,0,0
URLID_DTVB,66273.0,0,0
URLID_DAII,17373.808988764045,0,0
URLID_IMBH,18272.0,0,0
URLID_GMAE,70306.0,0,1
URLID_BGHG,91227.0,0,1
URLID_BDJL,29897.0,0,0
URLID_KIZL,9724.5,0,0
URLID_FNSA,39950.0,0,1
URLID_MPEM,21394.0,0,0
URLID_DGQG,27257.0,0,0
URLID_OSGL,32881.0,0,0
URLID_SJGA,19932.0,1,0
URLID_EFLB,109751.0,1,1
URLID_CFTE,107075.0,1,1
URLID_NLCK,102242.0,1,1
URLID_NRGM,28398.0,0,0
URLID_PINE,22198.0,1,0
URLID_LMUI,114688.0,1,1
URLID_QVRK,24609.0,1,0
URLID_WUMC,20179.0,0,0
URLID_FYKG,26504.0,0,0
URLID_QBMB,15967.0,1,0
URLID_QWCA,39216.0,1,1
URLID_QRYI,15837.422077922078,0,0
URLID_QETD,29398.5,1,0
URLID_QBUL,10354.75,0,0
URLID_LHAN,16565.363636363636,1,0
URLID_DBVI,23587.0,0,0
URLID_QSNN,17902.08,0,0
URLID_ZKZH,35610.0,0,0
URLID_UHEB,18419.0,1,0
URLID_JOAJ,74903.0,0,1
URLID_UKUC,34855.0,1,0
URLID_IHBF,54196.0,1,1
URLID_NPSB,15208.5,0,1
URLID_CWVF,16666.8,0,0
URLID_KNBD,52852.0,0,0
URLID_JGFI,72292.0,1,1
URLID_BOBK,44365.0,0,1
URLID_BWGI,49097.0,1,1
URLID_AMMN,19927.0,0,0
URLID_EDGC,27743.0,0,1
URLID_YPIC,10487.0,0,0
URLID_MIEN,35869.0,1,1
URLID_UVWG,23305.0,0,0
URLID_TUJM,91394.0,1,1
URLID_EEHN,24292.0,0,0
URLID_XZWD,20590.333333333332,0,0
URLID_CRUH,33861.0,0,0
URLID_RXTG,52998.0,1,1
URLID_CIAB,31427.0,0,0
URLID_WUDO,29908.0,0,0
URLID_KSBF,74616.5,1,1
URLID_NOWN,35575.0,1,1
URLID_ETJF,16628.107228915662,0,0
URLID_LRBD,48004.0,1,1
URLID_DNCH,32723.0,1,1
URLID_QOIC,22317.25,0,0
URLID_SUVE,11823.0,0,0
URLID_QDKC,12687.0,0,0
URLID_NQEO,33883.0,1,0
URLID_JHUF,50672.0,0,0
URLID_LNFM,16628.107228915662,0,0
URLID_ZVZI,27993.0,0,0
URLID_SSEG,37890.0,0,0
URLID_MQLF,12015.0,1,0
URLID_TRAD,16103.0,0,0
URLID_XTLC,27757.0,1,0
URLID_GLGB,44880.0,0,1
URLID_MKBD,39336.0,0,0
URLID_GRPB,28854.0,0,1
URLID_FAFB,24679.916666666668,0,0
URLID_XDTM,13884.0,0,0
URLID_NDEB,20995.5,1,1
URLID_TUIK,17614.122159090908,0,0
URLID_GJDD,74342.0,0,1
URLID_AQNM,67191.0,0,1
URLID_UZFL,17696.0,0,0
URLID_EHVJ,16862.0,1,0
URLID_OADE,22991.0,0,0
URLID_VIZJ,48604.0,0,1
URLID_AGTI,23049.0,0,0
URLID_XZGJ,88454.0,1,1
URLID_SQMI,40040.0,0,1
URLID_AUJA,40910.0,0,0
URLID_PRDI,24936.0,0,0
URLID_YDRD,31831.0,1,0
URLID_GNKA,49101.0,1,0
URLID_BARG,33719.0,1,0
URLID_LTGC,32066.0,0,0
URLID_VBVF,17732.75,0,0
URLID_IPVN,116550.0,1,1
URLID_UMTK,21327.0,1,0
URLID_EXPC,48541.0,0,0
URLID_VAKH,16628.107228915662,0,0
URLID_FHIL,17375.598619896493,0,0
URLID_HWZF,245198.0,1,1
URLID_EYTK,28772.0,0,0
URLID_TJDL,24376.0,0,0
URLID_WOUF,62725.0,1,1
URLID_UOKF,18782.0,0,1
URLID_RFQK,42341.0,0,0
URLID_VECC,16628.107228915662,0,0
URLID_OYNI,23359.0,0,0
URLID_FFZC,38151.0,1,1
URLID_VJWK,91636.0,0,1
URLID_HMXK,17842.571428571428,1,0
URLID_SFGL,16750.6,0,0
URLID_KJNM,25303.0,1,0
URLID_HQVL,21523.0,1,0
URLID_IJNI,13865.0,0,0
URLID_RTUK,9381.0,0,0
URLID_WHXN,46898.0,1,1
URLID_SHVE,20718.666666666668,0,0
URLID_GIXN,19769.0,0,0
URLID_NLUI,41845.0,1,1
URLID_QGTC,35660.0,0,0
URLID_AIWD,28224.0,0,0
URLID_FDWG,36148.0,0,0
URLID_EATL,22802.0,0,1
URLID_PVMB,64275.0,1,1
URLID_XYTH,58541.0,1,1
URLID_MDZC,18874.0,0,0
URLID_LGVM,17902.08,0,0
URLID_ZNBB,27877.0,0,0
URLID_ZOGA,25654.0,1,0
URLID_EPAB,27213.0,0,1
URLID_YHND,20248.0,0,0
URLID_QLUG,29564.0,0,0
URLID_QVHF,23144.6,0,0
URLID_DMSE,34070.0,1,0
URLID_LMOE,16572.14814814815,0,0
URLID_CIQG,28224.0,1,0
URLID_KHMD,45420.0,1,0
URLID_ZEZK,18230.444444444445,0,0
